time,RSSI,time,lat,long,GPS MSL,SVs,time,acceleration,time,pressure,Pressure MSL,Pressure AGL,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time,eject. bat. voltage,time,GPS Time of Week, valid leap seconds, leap seconds,time,temperature
5.358,-88,99.289,38.399009,-78.063509,997.68402,15,99.0807,1.01172,133.41,91044,893.277,-269.783,237.516,7.01367,234.953,Decent,0,0,0,0,1,0,0,0,232.219,0.0227295,254.359,64340200,1,18,,
5.468,-86,99.8898,38.398987,-78.063477,995.59302,15,99.9472,1.03125,135.066,91121,886.291,-276.77,241.422,6.99094,237.516,Decent,0,0,0,0,1,0,0,0,236.219,0.0227295,258.406,64344200,1,18,,
5.577,-86,100.767,38.39895,-78.063433,992.64606,15,100.688,0.996094,136.412,91157,883.025,-280.036,244.016,6.98769,241.422,Decent,0,0,0,0,1,0,0,0,238.922,0.0227295,262.172,64348200,1,18,,
5.718,-88,101.3,38.398912,-78.063401,990.19403,15,101.541,0.9375,138.027,91219,877.405,-285.656,247.672,6.98769,244.016,Decent,0,0,0,0,1,0,0,0,242.688,0.0194824,265.984,64352200,1,18,,
5.843,-86,102.012,38.398865,-78.063373,987.69202,15,102.281,0.945312,139.348,91276,872.239,-290.821,251.75,6.99094,248.938,Decent,0,0,0,0,1,0,0,0,246.422,0.0227295,269.781,64356200,1,18,,
5.952,-88,102.622,38.398811,-78.063356,985.54504,15,103.021,1.07031,140.798,91329,867.441,-295.62,255.688,7.00068,251.75,Decent,0,0,0,0,1,0,0,0,250.359,0.0227295,278.719,64365200,1,18,,
6.062,-88,103.471,38.398737,-78.063362,982.60406,15,103.611,1.09766,142.131,91369,863.818,-299.242,259.688,6.9812,255.688,Decent,0,0,0,0,1,0,0,0,253,0.0227295,282.484,64369200,1,18,,
6.171,-87,103.903,38.398706,-78.063376,980.85004,15,104.367,1.11719,143.607,91420,859.205,-303.856,263.422,6.95847,258.406,Decent,0,0,0,0,1,1,0,0,257,0.0227295,287.375,64373200,1,18,,
6.312,-89,104.99,38.398641,-78.063451,973.72607,15,105.097,1.13672,144.96,91503,851.698,-311.363,267.25,6.95847,262.172,Decent,0,0,0,0,1,1,0,0,260.938,0.0227295,291.391,64377200,1,18,,
6.437,-90,105.971,38.398628,-78.063476,970.97302,15,106.081,1.10156,146.21,91562,846.366,-316.695,271.063,6.95522,264.75,Decent,0,0,0,0,1,1,0,0,264.75,0.0227295,298.047,64384200,1,18,,
6.546,-90,106.842,38.398616,-78.063486,969.14203,15,106.844,1.01953,147.69,91642,839.139,-323.921,273.703,6.97795,268.531,Decent,0,0,0,0,1,1,0,0,268.531,0.0194824,301.922,64388000,1,18,,
6.656,-89,107.57,38.398604,-78.063492,967.39905,15,107.748,1.01172,148.89,91697,834.175,-328.886,277.484,6.95198,272.453,Decent,0,0,0,0,1,1,0,0,272.453,0.0227295,,,,,,
6.796,-88,108.461,38.398592,-78.063492,965.49402,15,108.359,1.01953,150.23,91748,829.572,-333.489,281.25,6.96821,278.719,Decent,0,0,0,0,1,1,0,0,278.719,0.0227295,,,,,,
6.906,-90,109.078,38.398575,-78.063476,962.56403,15,109.228,0.957031,151.71,91841,821.185,-341.876,284.906,6.95522,282.484,Decent,0,0,0,0,1,1,0,0,282.484,0.0227295,,,,,,
7.031,-88,109.797,38.398565,-78.063462,960.98804,15,109.892,1.10938,152.97,91914,814.608,-348.452,288.781,6.95198,284.906,Decent,0,0,0,0,1,1,0,0,284.906,0.0227295,,,,,,
7.14,-89,110.485,38.398535,-78.063419,957.57306,15,110.672,0.976562,154.21,91990,807.765,-355.296,291.391,6.94548,288.781,Decent,0,0,0,0,1,1,0,0,288.781,0.0227295,,,,,,
7.281,-86,111.34,38.398503,-78.063382,954.97302,15,111.422,0.96875,155.73,92068,800.747,-362.314,296.703,6.96497,292.719,Decent,0,0,0,0,1,1,0,0,292.719,0.0227295,,,,,,
7.39,-89,111.929,38.39844,-78.063335,951.14905,15,112.138,1.01172,156.97,92122,795.89,-367.17,299.453,6.96172,295.453,Decent,0,0,0,0,1,1,0,0,295.453,0.0227295,,,,,,
7.5,-91,112.69,38.398382,-78.063315,948.25006,14,112.778,1.05078,158.29,92200,788.878,-374.183,,,299.453,Decent,0,0,0,0,1,1,0,0,299.453,0.0227295,,,,,,
7.625,-90,113.41,38.398298,-78.06331,944.60107,15,113.553,1.04297,159.906,92259,783.58,-379.481,,,301.922,Decent,0,0,0,0,1,1,0,0,301.922,0.0227295,,,,,,
7.733,-91,114.056,38.39824,-78.063322,942.05402,15,114.253,1.05078,161.256,92334,776.845,-386.216,,,,,,,,,,,,,,,,,,,,
7.875,-89,114.605,38.39819,-78.063342,939.46606,15,114.955,1.05469,162.676,92386,772.178,-390.882,,,,,,,,,,,,,,,,,,,,
7.983,-90,115.42,38.398142,-78.063375,936.01807,15,115.748,1.16406,163.872,92473,764.378,-398.682,,,,,,,,,,,,,,,,,,,,
8.093,-90,115.904,38.398108,-78.063399,933.80206,15,116.448,1.13672,165.287,92547,757.746,-405.315,,,,,,,,,,,,,,,,,,,,
8.218,-91,117.009,38.397811,-78.063448,918.74103,15,117.964,1.01562,166.687,92609,752.195,-410.866,,,,,,,,,,,,,,,,,,,,
8.358,-90,118.012,38.397739,-78.06344,915.32404,15,118.832,0.957031,167.957,92663,747.362,-415.699,,,,,,,,,,,,,,,,,,,,
8.468,-89,119.051,38.397705,-78.063429,913.41205,15,119.955,0.988281,169.31,92729,741.456,-421.604,,,,,,,,,,,,,,,,,,,,
8.577,-90,120.003,38.397642,-78.063393,909.65503,15,120.71,1.05469,170.71,92808,734.394,-428.667,,,,,,,,,,,,,,,,,,,,
8.687,-88,120.856,38.397599,-78.06336,907.13702,15,121.838,1.02734,171.979,92878,728.139,-434.921,,,,,,,,,,,,,,,,,,,,
8.827,-90,121.659,38.397551,-78.063311,904.08405,15,122.565,1.17578,173.399,92928,723.674,-439.387,,,,,,,,,,,,,,,,,,,,
8.937,-90,122.571,38.397522,-78.063274,901.86505,15,123.536,1.05078,174.739,92972,719.747,-443.313,,,,,,,,,,,,,,,,,,,,
9.062,-89,123.341,38.397494,-78.063238,899.60303,15,124.048,0.988281,175.979,93018,715.641,-447.419,,,,,,,,,,,,,,,,,,,,
9.171,-91,124.04,38.397462,-78.063203,897.24707,15,124.918,1.01562,177.321,93077,710.38,-452.68,,,,,,,,,,,,,,,,,,,,
9.281,-91,125.055,38.397395,-78.063156,892.89001,15,125.493,1.02344,178.741,93131,705.566,-457.495,,,,,,,,,,,,,,,,,,,,
9.421,-90,125.62,38.397362,-78.063142,890.99005,15,126.562,0.984375,179.981,93179,701.288,-461.772,,,,,,,,,,,,,,,,,,,,
9.546,-90,126.424,38.397287,-78.063133,886.81305,15,127.052,0.996094,181.341,93279,692.384,-470.677,,,,,,,,,,,,,,,,,,,,
9.656,-91,127.099,38.397229,-78.063143,883.93103,15,127.874,1.10938,182.615,93310,689.625,-473.436,,,,,,,,,,,,,,,,,,,,
9.765,-91,127.942,38.397177,-78.063162,881.27002,15,128.324,1.08203,184.075,93377,683.664,-479.397,,,,,,,,,,,,,,,,,,,,
9.906,-91,128.648,38.397132,-78.06319,878.82501,15,129.13,1.07812,185.355,93428,679.13,-483.931,,,,,,,,,,,,,,,,,,,,
10.015,-90,129.455,38.397085,-78.063238,874.57703,15,129.74,1.08594,186.635,93472,675.219,-487.841,,,,,,,,,,,,,,,,,,,,
10.125,-90,129.853,38.397075,-78.063254,872.89807,15,130.61,1.07812,188.095,93518,671.132,-491.929,,,,,,,,,,,,,,,,,,,,
10.233,-90,130.744,38.397066,-78.063268,869.34302,15,131.15,1.1875,189.495,93582,665.451,-497.61,,,,,,,,,,,,,,,,,,,,
10.375,-90,131.288,38.397059,-78.063274,866.86005,15,131.829,1.09375,190.795,93629,661.279,-501.782,,,,,,,,,,,,,,,,,,,,
10.483,-89,132.086,38.397046,-78.063292,863.87604,15,132.38,1.06641,192.075,93671,657.553,-505.508,,,,,,,,,,,,,,,,,,,,
10.593,-88,132.557,38.39703,-78.063314,861.59705,15,133.21,0.996094,193.34,93737,651.7,-511.36,,,,,,,,,,,,,,,,,,,,
